exit_time,exit_ns,pnl_pips,cum_pnl,drawdown,pair,year
2020-01-01 23:30:00+00:00,1577921400000000,-10.1,-10.1,10.1,USD_JPY,2020
2020-01-02 00:05:00+00:00,1577923500000000,-13.0,-23.1,23.1,USD_CHF,2020
2020-01-02 00:15:00+00:00,1577924100000000,-9.4,-32.5,32.5,CHF_JPY,2020
2020-01-02 00:15:00+00:00,1577924100000000,-5.8,-38.3,38.3,EUR_USD,2020
2020-01-02 00:25:00+00:00,1577924700000000,-3.2,-41.5,41.5,AUD_USD,2020
2020-01-02 00:30:00+00:00,1577925000000000,1.2,-40.3,40.3,AUD_JPY,2020
2020-01-02 00:30:00+00:00,1577925000000000,-6.5,-46.8,46.8,NZD_USD,2020
2020-01-02 00:30:00+00:00,1577925000000000,-3.9,-50.7,50.7,NZD_JPY,2020
2020-01-02 00:30:00+00:00,1577925000000000,-3.8,-54.5,54.5,EUR_JPY,2020
2020-01-02 00:35:00+00:00,1577925300000000,-3.4,-57.9,57.9,EUR_AUD,2020
2020-01-02 01:30:00+00:00,1577928600000000,-3.9,-61.8,61.8,AUD_USD,2020
2020-01-02 01:45:00+00:00,1577929500000000,-7.8,-69.6,69.6,NZD_JPY,2020
2020-01-02 03:00:00+00:00,1577934000000000,-3.9,-73.5,73.5,AUD_USD,2020
2020-01-02 03:15:00+00:00,1577934900000000,-9.6,-83.1,83.1,USD_CAD,2020
2020-01-02 03:15:00+00:00,1577934900000000,-3.9,-87.0,87.0,USD_JPY,2020
2020-01-02 03:45:00+00:00,1577936700000000,-8.8,-95.8,95.8,EUR_JPY,2020
2020-01-02 03:45:00+00:00,1577936700000000,-10.2,-106.0,106.0,EUR_USD,2020
2020-01-02 07:05:00+00:00,1577948700000000,-2.4,-108.4,108.4,USD_CAD,2020
2020-01-02 07:55:00+00:00,1577951700000000,-4.1,-112.5,112.5,EUR_USD,2020
2020-01-02 08:15:00+00:00,1577952900000000,-3.8,-116.3,116.3,EUR_GBP,2020
2020-01-02 08:15:00+00:00,1577952900000000,-3.7,-120.0,120.0,AUD_NZD,2020
2020-01-02 08:45:00+00:00,1577954700000000,3.5,-116.5,116.5,GBP_USD,2020
2020-01-02 08:55:00+00:00,1577955300000000,7.1,-109.4,109.4,USD_CHF,2020
2020-01-02 09:10:00+00:00,1577956200000000,-5.5,-114.9,114.9,AUD_USD,2020
2020-01-02 09:20:00+00:00,1577956800000000,10.3,-104.6,104.6,EUR_AUD,2020
2020-01-02 09:45:00+00:00,1577958300000000,0.7,-103.9,103.9,USD_CAD,2020
2020-01-02 10:15:00+00:00,1577960100000000,8.4,-95.5,95.5,CAD_JPY,2020
2020-01-02 10:45:00+00:00,1577961900000000,3.9,-91.6,91.6,GBP_JPY,2020
2020-01-02 10:55:00+00:00,1577962500000000,-15.2,-106.8,106.8,CHF_JPY,2020
2020-01-02 11:20:00+00:00,1577964000000000,3.8,-103.0,103.0,USD_JPY,2020
2020-01-02 12:30:00+00:00,1577968200000000,-0.9,-103.9,103.9,EUR_GBP,2020
2020-01-02 13:05:00+00:00,1577970300000000,-16.7,-120.6,120.6,EUR_AUD,2020
2020-01-02 14:00:00+00:00,1577973600000000,8.5,-112.1,112.1,AUD_CAD,2020
2020-01-02 14:10:00+00:00,1577974200000000,19.4,-92.7,92.7,NZD_USD,2020
2020-01-02 14:15:00+00:00,1577974500000000,11.2,-81.5,81.5,USD_CHF,2020
2020-01-02 14:30:00+00:00,1577975400000000,-5.1,-86.6,86.6,NZD_CAD,2020
2020-01-02 14:35:00+00:00,1577975700000000,-6.0,-92.6,92.6,NZD_USD,2020
2020-01-02 14:55:00+00:00,1577976900000000,8.2,-84.4,84.4,AUD_NZD,2020
2020-01-02 15:00:00+00:00,1577977200000000,2.2,-82.2,82.2,USD_CHF,2020
2020-01-02 15:15:00+00:00,1577978100000000,1.3,-80.9,80.9,AUD_USD,2020
2020-01-02 15:20:00+00:00,1577978400000000,2.5,-78.4,78.4,EUR_GBP,2020
2020-01-02 15:30:00+00:00,1577979000000000,11.0,-67.4,67.4,GBP_USD,2020
2020-01-02 15:30:00+00:00,1577979000000000,13.8,-53.6,53.6,GBP_AUD,2020
2020-01-02 15:30:00+00:00,1577979000000000,8.1,-45.5,45.5,EUR_USD,2020
2020-01-02 15:55:00+00:00,1577980500000000,-7.1,-52.6,52.6,NZD_CAD,2020
2020-01-02 16:00:00+00:00,1577980800000000,7.1,-45.5,45.5,USD_CHF,2020
2020-01-02 16:00:00+00:00,1577980800000000,-0.3,-45.8,45.8,AUD_USD,2020
2020-01-02 16:15:00+00:00,1577981700000000,-1.5,-47.3,47.3,NZD_USD,2020
2020-01-02 16:30:00+00:00,1577982600000000,5.2,-42.1,42.1,USD_CAD,2020
2020-01-02 18:00:00+00:00,1577988000000000,14.3,-27.8,27.8,CAD_JPY,2020
2020-01-02 18:00:00+00:00,1577988000000000,10.0,-17.8,17.8,EUR_GBP,2020
2020-01-02 18:30:00+00:00,1577989800000000,98.6,80.8,0.0,GBP_JPY,2020
2020-01-02 21:45:00+00:00,1578001500000000,17.6,98.4,0.0,USD_JPY,2020
2020-01-02 22:15:00+00:00,1578003300000000,2.7,101.1,0.0,AUD_CAD,2020
2020-01-03 00:15:00+00:00,1578010500000000,-3.0,98.1,3.0,EUR_USD,2020
2020-01-03 01:05:00+00:00,1578013500000000,-3.2,94.9,6.2,NZD_USD,2020
2020-01-03 01:20:00+00:00,1578014400000000,-2.4,92.5,8.6,EUR_GBP,2020
2020-01-03 01:25:00+00:00,1578014700000000,-1.5,91.0,10.1,GBP_USD,2020
2020-01-03 02:15:00+00:00,1578017700000000,-1.9,89.1,12.0,EUR_USD,2020
2020-01-03 02:45:00+00:00,1578019500000000,-9.3,79.8,21.3,USD_CAD,2020
2020-01-03 04:10:00+00:00,1578024600000000,8.1,87.9,13.2,GBP_AUD,2020
2020-01-03 04:20:00+00:00,1578025200000000,14.7,102.6,0.0,USD_CHF,2020
2020-01-03 06:15:00+00:00,1578032100000000,-5.3,97.3,5.3,USD_CAD,2020
2020-01-03 06:15:00+00:00,1578032100000000,2.0,99.3,3.3,USD_CHF,2020
2020-01-03 06:30:00+00:00,1578033000000000,-12.7,86.6,16.0,GBP_AUD,2020
2020-01-03 07:05:00+00:00,1578035100000000,-3.3,83.3,19.3,GBP_AUD,2020
2020-01-03 08:50:00+00:00,1578041400000000,-3.9,79.4,23.2,AUD_NZD,2020
2020-01-03 10:10:00+00:00,1578046200000000,0.1,79.5,23.1,USD_CAD,2020
2020-01-03 10:55:00+00:00,1578048900000000,13.0,92.5,10.1,EUR_GBP,2020
2020-01-03 11:15:00+00:00,1578050100000000,-6.9,85.6,17.0,EUR_GBP,2020
2020-01-03 12:10:00+00:00,1578053400000000,40.9,126.5,0.0,NZD_CAD,2020
2020-01-03 12:20:00+00:00,1578054000000000,32.1,158.6,0.0,EUR_AUD,2020
2020-01-03 12:30:00+00:00,1578054600000000,-25.8,132.8,25.8,GBP_AUD,2020
2020-01-03 13:05:00+00:00,1578056700000000,39.4,172.2,0.0,USD_JPY,2020
2020-01-03 13:05:00+00:00,1578056700000000,28.3,200.5,0.0,CAD_JPY,2020
2020-01-03 13:10:00+00:00,1578057000000000,59.9,260.4,0.0,AUD_JPY,2020
2020-01-03 13:10:00+00:00,1578057000000000,57.2,317.6,0.0,NZD_JPY,2020
2020-01-03 13:15:00+00:00,1578057300000000,-0.8,316.8,0.8,AUD_NZD,2020
2020-01-03 13:15:00+00:00,1578057300000000,-12.6,304.2,13.4,USD_CAD,2020
2020-01-03 13:20:00+00:00,1578057600000000,15.5,319.7,0.0,USD_CHF,2020
2020-01-03 13:35:00+00:00,1578058500000000,-23.9,295.8,23.9,GBP_AUD,2020
2020-01-03 13:40:00+00:00,1578058800000000,51.9,347.7,0.0,CHF_JPY,2020
2020-01-03 13:40:00+00:00,1578058800000000,69.6,417.3,0.0,EUR_JPY,2020
2020-01-03 14:15:00+00:00,1578060900000000,-4.9,412.4,4.9,EUR_GBP,2020
2020-01-03 14:55:00+00:00,1578063300000000,-2.2,410.2,7.1,AUD_USD,2020
2020-01-03 15:15:00+00:00,1578064500000000,-15.1,395.1,22.2,USD_CHF,2020
2020-01-03 15:20:00+00:00,1578064800000000,122.1,517.2,0.0,GBP_JPY,2020
2020-01-03 16:00:00+00:00,1578067200000000,-2.2,515.0,2.2,NZD_CAD,2020
2020-01-03 16:00:00+00:00,1578067200000000,-6.2,508.8,8.4,NZD_USD,2020
2020-01-03 16:10:00+00:00,1578067800000000,-16.3,492.5,24.7,USD_CAD,2020
2020-01-03 16:40:00+00:00,1578069600000000,17.3,509.8,7.4,GBP_AUD,2020
2020-01-03 16:55:00+00:00,1578070500000000,50.1,559.9,0.0,GBP_USD,2020
2020-01-03 17:10:00+00:00,1578071400000000,-15.9,544.0,15.9,NZD_CAD,2020
2020-01-03 17:15:00+00:00,1578071700000000,7.9,551.9,8.0,CAD_JPY,2020
2020-01-03 17:15:00+00:00,1578071700000000,14.9,566.8,0.0,USD_JPY,2020
2020-01-03 17:20:00+00:00,1578072000000000,4.9,571.7,0.0,EUR_AUD,2020
2020-01-03 17:25:00+00:00,1578072300000000,-9.1,562.6,9.1,CHF_JPY,2020
2020-01-03 17:30:00+00:00,1578072600000000,16.4,579.0,0.0,GBP_JPY,2020
2020-01-03 17:55:00+00:00,1578074100000000,-1.5,577.5,1.5,NZD_JPY,2020
2020-01-03 17:55:00+00:00,1578074100000000,-7.5,570.0,9.0,AUD_JPY,2020
2020-01-03 19:05:00+00:00,1578078300000000,1.5,571.5,7.5,AUD_NZD,2020
2020-01-05 23:35:00+00:00,1578267300000000,-21.5,550.0,29.0,USD_CAD,2020
2020-01-06 00:00:00+00:00,1578268800000000,-10.6,539.4,39.6,CAD_JPY,2020
2020-01-06 00:00:00+00:00,1578268800000000,-13.5,525.9,53.1,CHF_JPY,2020
2020-01-06 00:00:00+00:00,1578268800000000,-2.3,523.6,55.4,EUR_JPY,2020
2020-01-06 00:30:00+00:00,1578270600000000,-8.0,515.6,63.4,AUD_NZD,2020
2020-01-06 00:45:00+00:00,1578271500000000,-11.6,504.0,75.0,GBP_AUD,2020
