train_years,test_year,dow,dow_name,window,window_utc,entry_thresh,exit_thresh,entry_confirm_min,exit_confirm_min,timed_exit_bars,timed_exit_min,train_n,train_avg_pips,test_n,test_total_pips,test_avg_pips,oos_profitable
[2019],2020,0,Mon,0,00:00,0.4,0.2,10,60,144,720,38,7.3605,177,114.7,0.648,True
"[2019, 2020]",2021,0,Mon,0,00:00,0.4,0.2,0,60,35,175,231,4.0831,228,935.5,4.1031,True
"[2019, 2020, 2021]",2022,0,Mon,0,00:00,0.4,0.2,0,50,455,2275,459,4.6373,206,2665.7,12.9403,True
"[2019, 2020, 2021, 2022]",2023,0,Mon,0,00:00,0.4,0.2,0,50,120,600,665,7.4958,214,913.3,4.2678,True
"[2019, 2020, 2021, 2022, 2023]",2024,0,Mon,0,00:00,0.4,0.2,0,60,375,1875,879,7.1118,227,927.5,4.0859,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,0,Mon,0,00:00,0.4,0.2,0,60,438,2190,1106,6.4949,185,884.1,4.7789,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,0,Mon,0,00:00,0.4,0.2,0,55,387,1935,1291,6.3343,23,289.5,12.587,True
[2019],2020,0,Mon,1,00:30,0.4,0.2,60,60,113,565,21,6.4429,58,-117.7,-2.0293,False
"[2019, 2020]",2021,0,Mon,1,00:30,0.4,0.2,0,0,123,615,163,4.6933,122,231.5,1.8975,True
"[2019, 2020, 2021]",2022,0,Mon,1,00:30,0.4,0.2,0,0,123,615,285,3.4965,146,1034.9,7.0884,True
"[2019, 2020, 2021, 2022]",2023,0,Mon,1,00:30,0.4,0.2,0,0,122,610,431,4.7202,158,1940.6,12.2823,True
"[2019, 2020, 2021, 2022, 2023]",2024,0,Mon,1,00:30,0.4,0.2,0,0,182,910,589,6.9477,137,893.7,6.5234,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,0,Mon,1,00:30,0.4,0.2,0,0,182,910,726,6.8676,124,426.2,3.4371,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,0,Mon,1,00:30,0.4,0.2,0,0,182,910,850,6.3672,5,-23.3,-4.66,False
[2019],2020,0,Mon,2,01:00,0.4,0.2,0,60,79,395,21,8.6762,160,1193.5,7.4594,True
